GARE_IDE_GAR;GARE_IDE_GAR_ORI;GARE_IDE_GAR_DES;COMMUNE;commune;LATITUDE;LONGITUDE;ZONE_GARE_ORI;ZONE_GARE_DES;ZONE_GARE
113001;113001;113001;75110;Paris;48.8767766066; 2.358414927;1;1;1
113472;113472;113472;93062;Le Raincy;48.8892773749; 2.51205637004;4;4;4
113779;113779;113779;94017;Champigny-sur-Marne;48.8249271629; 2.51209824083;3;3;3
113803;113803;113803;93051;Noisy-le-Grand;48.8231906883; 2.57979540155;4;4;4
113860;113860;113860;93057;Livry-Gargan;48.9082235013; 2.51727383269;4;4;4
113894;113894;113894;93071;Sevran;48.9270396905; 2.5189895135;4;4;4
116020;116020;116020;77350;Ozoir-la-Ferrière;48.770713265; 2.68993639666;5;5;5
116046;116046;116046;77373;Pontault-Combault;48.8060035996; 2.61771918549;5;5;5
116087;116087;116087;77317;Mormant;48.613224928; 2.88948293637;5;5;5
116228;116228;116228;77229;Marles-en-Brie;48.7354136323; 2.86932424041;5;5;5
116244;116244;116244;77318;Mortcerf;48.7893454005; 2.90770615404;5;5;5
116277;116277;116277;77371;Pommeuse;48.8085349039; 2.99318415513;5;5;5
116392;116392;116392;77182;La Ferté-Gaucher;48.7827110308; 3.29755777978;5;5;5
116400;116400;116400;77315;Montry;48.8908111565; 2.8262287351;5;5;5
116491;116491;116491;77475;Trilport;48.9600729681; 2.94935724218;5;5;5
116509;116509;116509;77084;Changis-sur-Marne;48.9593340234; 3.0256113065;5;5;5
116517;116517;116517;77183;La Ferté-sous-Jouarre;48.9507720863; 3.12540966146;5;5;5
116566;116566;116566;2555;Nogent-l'artaud;48.9687706778; 3.32293348418;100;100;100
116665;116665;116665;60280;Gourchelles;49.1353860698; 3.0752747316;100;100;100
271445;271445;271445;93071;Sevran;48.9476830486; 2.524451401;4;4;4
271478;271478;271478;93007;Le Blanc-Mesnil;48.9324610128; 2.47737901135;3;3;3
271577;271577;271577;60446;Nanteuil-le-Haudouin;49.1421716494; 2.79385216117;100;100;100
272146;272146;272146;92036;Gennevilliers;48.9201482202; 2.31471303257;3;3;3
276022;276022;276022;95210;Enghien-les-Bains;48.9730065501; 2.3065405136;4;4;4
276030;276030;276030;95598;Soisy-sous-Montmorency;48.9798046558; 2.29179173933;4;4;4
276139;276139;276139;95500;Pontoise;49.047019384; 2.09533109205;5;5;5
276147;276147;276147;95572;Saint-Ouen-l'Aumône;49.0545647101; 2.12201152598;5;5;5
276220;276220;276220;95019;Arnouville-les-Gonesse;48.9941925925; 2.41607904161;4;4;4
276253;276253;276253;95351;Louvres;49.049540601; 2.50222230081;5;5;5
276279;276279;276279;60482;Orry-la-Ville;49.1387128399; 2.48959350843;100;100;100
276360;276360;276360;95288;Groslay;48.9845840299; 2.35353000434;4;4;4
276394;276394;276394;95229;Ezanville;49.0227293054; 2.3631340522;4;4;4
276410;276410;276410;60513;Précy-sur-Oise;49.203234752; 2.37636060597;100;100;100
276469;276469;276469;95487;Persan;49.1481493422; 2.27938439623;5;5;5
276543;276543;276543;95039;Auvers-sur-Oise;49.070607684; 2.17529699034;5;5;5
276568;276568;276568;95652;Viarmes;49.1163064814; 2.36780775232;5;5;5
276576;276576;276576;95352;Luzarches;49.117045597; 2.41993534167;5;5;5
276675;276675;276675;95392;Mériel;49.0778512192; 2.20536692885;5;5;5
281873;281873;281873;75110;Paris;48.8794550031; 2.35732593188;1;1;1
332932;332932;332932;91294;Guillerval;48.370995806; 2.08207328137;5;5;5
366922;366922;366922;78551;Saint-Germain-en-Laye;48.8950238658; 2.07194236158;4;4;4
381087;381087;381087;92025;Colombes;48.9237108213; 2.25953314227;3;3;3
381491;381491;381491;78015;Andrésy;48.9747479366; 2.04921372466;5;5;5
381509;381509;381509;78361;Mantes-la-Jolie;48.9896873515; 1.7032941813;5;5;5
381590;381590;381590;78361;Mantes-la-Jolie;48.9836142513; 1.71562987614;5;5;5
381715;381715;381715;78368;Mareil-sur-Mauldre;48.8930624961; 1.87185282015;5;5;5
382267;382267;382267;92076;Vaucresson;48.836784962; 2.15255479028;4;4;4
382358;382358;382358;92064;Saint-Cloud;48.8443540357; 2.21690859829;3;3;3
